level,unit,word,translation
3,1,cake,蛋糕
3,1,cane,藤条
3,1,cape,斗篷
3,1,cave,洞穴
3,1,game,游戏
3,1,gate,门
3,1,lake,湖
3,1,mane,鬃毛
3,1,name,名字
3,1,skate,溜冰鞋
3,1,tape,磁带
3,1,wave,波浪
3,2,bike,自行车
3,2,dive,跳水
3,2,fine,罚款
3,2,five,五
3,2,hike,徒步旅行
3,2,kite,风筝
3,2,lime,酸橙
3,2,line,线条
3,2,nine,九
3,2,pine,松树
3,2,ripe,成熟的
3,2,time,时间
3,3,bone,骨（头）
3,3,cone,圆锥体
3,3,cube,立方体
3,3,cute,漂亮迷人的
3,3,home,家
3,3,june,六月
3,3,mule,骡子
3,3,mute,哑巴
3,3,rope,粗绳
3,3,rule,规则
3,3,tube,管
3,3,tune,曲调
3,4,bay,湾
3,4,day,一天
3,4,hay,干草
3,4,mail,邮件
3,4,may,[May]五月
3,4,nail,钉子
3,4,pay,支付
3,4,rain,雨
3,4,sail,帆
3,4,say,发言权
3,4,tail,尾（巴）
3,4,wait,等候
3,5,bee,蜜蜂
3,5,candy,糖果
3,5,eat,吃（饭）
3,5,feet,脚( foot的名词复数 )
3,5,happy,幸福的
3,5,jeep,吉普车
3,5,key,钥匙
3,5,leaf,叶子
3,5,meat,肉
3,5,money,钱
3,5,sea,海（洋）
3,5,seed,种子
3,6,cry,哭
3,6,die,死亡
3,6,high,最高点
3,6,lie,谎言
3,6,light,光
3,6,my,我的
3,6,night,夜间
3,6,pie,馅饼
3,6,right,右边
3,6,sky,天（空）
3,6,spy,间谍
3,6,tie,领带
3,7,boat,船
3,7,bow,鞠躬
3,7,coat,外套
3,7,elbow,肘（部）
3,7,goat,山羊
3,7,pillow,枕头
3,7,road,路
3,7,row,一排/列/行
3,7,soap,肥皂
3,7,toad,蟾蜍
3,7,window,窗
3,7,yellow,黄（色）
3,8,blue,蓝色
3,8,boot,靴子
3,8,clue,线索
3,8,dew,露水
3,8,food,食物
3,8,fruit,成果
3,8,glue,胶水
3,8,moon,月亮
3,8,new,新的
3,8,suit,一套衣服
3,8,tuesday,星期二
3,8,zoo,动物园
