unit,word,translation
1,car,小汽车
1,farm,农场
1,park,公园
1,star,星星
1,bird,小鸟
1,girl,女孩
1,nurse,护士
1,purple,紫色
1,teacher,老师
1,sister,姐妹
1,doctor,医生
1,tractor,拖拉机
2,mouse,老鼠
2,house,房屋
2,cow,奶牛
2,brown,棕色
2,coin,硬币
2,soil,泥土
2,toy,玩具
2,boy,男孩
2,book,书本
2,foot,脚
2,bush,灌木丛
2,pull,拉/拽
3,sauce,酱汁
3,august,八月
3,prawn,大虾
3,draw,画画
3,ball,球
3,tall,高的
3,water,水
3,walk,散步/走路
3,horse,马
3,fork,叉子
3,roar,吼叫/咆哮
3,board,木板/黑板
4,square,正方形
4,share,分享
4,chair,椅子
4,hair,头发
4,bread,面包
4,head,头
4,bear,熊
4,pear,梨
4,ear,耳朵
4,clear,清晰的/清澈的
4,deer,小鹿
4,cheer,欢呼
5,acorn,橡果
5,baby,婴儿/宝宝
5,child,孩子/儿童
5,cold,寒冷的
5,elevator,电梯
5,he,他
5,hotel,旅馆/酒店
5,lady,女士
5,music,音乐
5,she,她
5,tiger,老虎
5,uniform,校服/制服
6,banana,香蕉
6,chicken,小鸡/鸡肉
6,honey,蜂蜜
6,lemon,柠檬
6,love,爱/喜爱
6,monkey,猴子
6,panda,大熊猫
6,pencil,铅笔
6,son,儿子
6,surprise,惊喜
6,umbrella,雨伞
6,gorilla,大猩猩
7,castle,城堡
7,comb,梳子
7,glove,手套
7,knee,膝盖
7,knife,小刀
7,lamb,小羊
7,live,居住/生活
7,rhino,犀牛
7,rhubarb,大黄(食用植物)
7,whistle,口哨
7,write,写字
7,wrong,错误的
8,beautiful,美丽的
8,competition,比赛
8,dangerous,危险的
8,excursion,远足/短途旅行
8,famous,著名的
8,helpful,乐于助人的
8,measure,测量
8,nature,大自然
8,picture,图画/照片
8,station,车站
8,television,电视机
8,treasure,宝藏
