level,unit,word,translation
1,1,alligator,短吻鳄
1,1,ant,蚂蚁
1,1,apple,苹果
1,1,ax,斧子
1,1,banana,香蕉
1,1,bear,熊
1,1,bed,床（位）
1,1,bird,小鸟
1,1,car,小汽车
1,1,cat,猫
1,1,computer,计算机
1,1,cup,杯子
1,2,desk,书桌
1,2,dog,狗
1,2,doll,洋娃娃
1,2,duck,鸭子
1,2,egg,卵
1,2,elbow,肘（部）
1,2,elephant,象
1,2,envelope,信封
1,2,fan,风扇
1,2,farm,农场
1,2,fish,鱼（肉）
1,2,fork,叉子
1,3,gift,礼物
1,3,girl,女孩
1,3,goat,山羊
1,3,gorilla,大猩猩
1,3,hat,帽子
1,3,horse,马
1,3,hot dog,<口>热狗（一种中间夹有熏红肠并配有芥菜
1,3,house,房屋
1,3,igloo,圆顶小屋
1,3,iguana,鬣鳞蜥（产于中美洲和南美洲）
1,3,ink,墨水
1,3,insect,昆虫
1,4,jacket,短上衣
1,4,jam,果酱
1,4,jet,喷嘴
1,4,juice,果汁
1,4,kangaroo,[动]袋鼠
1,4,key,钥匙
1,4,king,国王
1,4,kite,风筝
1,4,lamp,灯
1,4,leaf,叶子
1,4,lemon,柠檬
1,4,lion,狮子
1,5,milk,奶
1,5,money,钱
1,5,monkey,猴子
1,5,mouse,老鼠
1,5,nest,巢
1,5,net,网
1,5,nose,鼻子
1,5,nut,坚果（仁）
1,5,octopus,章鱼
1,5,olive,橄榄
1,5,ostrich,鸵鸟
1,5,ox,去势公牛
1,6,panda,大熊猫
1,6,peach,桃子
1,6,pen,笔
1,6,pineapple,菠萝
1,6,queen,女王
1,6,question,问题
1,6,quilt,被子
1,6,quiz,问答比赛
1,6,rabbit,兔子
1,6,rice,稻
1,6,robot,机器人
1,6,rose,玫瑰
1,7,seal,印章
1,7,soap,肥皂
1,7,socks,袜子（sock的复数）
1,7,sun,太阳
1,7,teacher,老师
1,7,tent,帐篷
1,7,tiger,老虎
1,7,turtle,海龟
1,7,umbrella,雨伞
1,7,umpire,裁判
1,7,uncle,叔叔
1,7,up,向上
1,7,van,先锋
1,7,vest,马甲
1,7,vet,兽医
1,7,violin,小提琴
1,8,box,盒子
1,8,fox,狐
1,8,six,六
1,8,watch,看
1,8,water,水
1,8,wax,蜡
1,8,web,蜘蛛网
1,8,wolf,狼
1,8,yacht,帆船
1,8,yak,牦牛
1,8,yogurt,酸奶
1,8,yo-yo,溜溜球（一种线轴般的玩具）
1,8,zebra,斑马
1,8,zero,零
1,8,zipper,拉锁
1,8,zoo,动物园
2,1,ant,蚂蚁
2,1,ax,斧子
2,1,can,能
2,1,cat,猫
2,1,dam,坝
2,1,fan,风扇
2,1,jam,果酱
2,1,man,成年男子
2,1,pan,平底锅
2,1,ram,公羊
2,1,yak,牦牛
2,1,yam,薯蓣
2,2,bag,包
2,2,bat,球棒
2,2,cap,帽子
2,2,dad,爸爸
2,2,hat,帽子
2,2,map,地图
2,2,mat,席子
2,2,nap,小睡
2,2,pad,软垫
2,2,rag,破布
2,2,rat,大老鼠
2,2,tap,龙头
2,3,bed,床（位）
2,3,egg,卵
2,3,hen,母鸡
2,3,jet,喷嘴
2,3,net,网
2,3,pen,笔
2,3,pet,宠物
2,3,red,红色
2,3,ten,十个人
2,3,vet,兽医
2,3,web,蜘蛛网
2,3,wet,湿的
2,4,bib,围嘴
2,4,hip,臀部
2,4,in,在内的
2,4,ink,墨水
2,4,kid,小孩
2,4,lid,盖（子）
2,4,lip,嘴唇
2,4,rib,肋骨
2,4,rip,裂口
2,4,sip,小口喝
2,4,tip,尖/顶端
2,4,zip,<英>拉链
2,5,big,大的
2,5,bin,垃圾桶
2,5,dig,考古发掘
2,5,fig,无花果
2,5,fin,鱼鳍
2,5,hit,打
2,5,mix,混合
2,5,pin,钉
2,5,pit,井
2,5,six,六
2,5,wig,假发
2,5,win,赢（得）
2,6,cot,小床
2,6,dot,点
2,6,fox,狐
2,6,hop,跳舞
2,6,hot,热的
2,6,log,记录
2,6,mop,拖把
2,6,ox,去势公牛
2,6,pop,流行音乐的
2,6,pot,罐
2,6,rod,杆
2,6,top,顶（端）
2,7,bud,芽
2,7,bug,虫子
